                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.41049,                 0.4549,                0.87085,                0.99052,                0.99678,                0.99356,                0.96731,                0.23313,                0.50181,                0.79781,               0.002872,               0.002872,               0.002872
                     38,                0.40793,                0.44986,                0.87076,                0.97752,                0.99733,                0.99358,                0.96756,                0.23239,                0.50203,                0.79756,               0.002674,               0.002674,               0.002674
                     39,                0.40152,                0.44254,                0.86857,                0.97793,                 0.9973,                0.99362,                0.96778,                0.23179,                0.50161,                0.79737,               0.002476,               0.002476,               0.002476
                     40,                0.39822,                0.43671,                0.86735,                0.98009,                0.99733,                0.99365,                0.96804,                0.23118,                0.50194,                0.79717,               0.002278,               0.002278,               0.002278
                     41,                0.27212,                0.35217,                0.80237,                0.98283,                 0.9973,                0.99365,                0.96832,                0.23048,                0.50094,                0.79686,                0.00208,                0.00208,                0.00208
                     42,                 0.2668,                0.34202,                0.80104,                0.98478,                0.99726,                 0.9937,                0.96865,                0.22952,                0.50029,                0.79647,               0.001882,               0.001882,               0.001882
                     43,                0.26171,                0.33148,                0.79937,                0.98657,                0.99721,                0.99374,                0.96887,                0.22877,                0.50055,                0.79614,               0.001684,               0.001684,               0.001684
                     44,                0.25776,                0.32333,                0.79764,                 0.9875,                0.99719,                0.99378,                0.96912,                 0.2279,                0.50154,                0.79575,               0.001486,               0.001486,               0.001486
                     45,                0.25225,                0.31149,                0.79692,                0.98845,                0.99716,                0.99379,                0.96941,                0.22714,                0.50289,                 0.7955,               0.001288,               0.001288,               0.001288
                     46,                0.24743,                0.30183,                0.79598,                0.98909,                0.99695,                0.99384,                0.96957,                0.22642,                0.50488,                 0.7952,                0.00109,                0.00109,                0.00109
                     47,                0.24292,                0.28953,                0.79294,                0.98974,                0.99681,                0.99384,                 0.9697,                0.22577,                0.50721,                0.79499,               0.000892,               0.000892,               0.000892
                     48,                0.23877,                 0.2789,                 0.7923,                0.98986,                0.99662,                0.99385,                0.96986,                 0.2252,                0.51009,                0.79475,               0.000694,               0.000694,               0.000694
                     49,                0.23449,                0.26835,                0.79029,                0.98971,                0.99634,                0.99386,                0.97005,                0.22458,                0.51345,                0.79452,               0.000496,               0.000496,               0.000496
                     50,                0.23084,                0.25525,                0.78919,                0.98976,                0.99593,                0.99385,                0.97011,                0.22408,                0.51771,                0.79425,               0.000298,               0.000298,               0.000298
